C,W_real,Pi,A,N,R,realinterest,Y,Q,Z,S,Pi_star,x_aux_1,x_aux_2,MC,M_real,i_ann,pi_ann,r_real_ann,P,log_m_nominal,log_y,log_W_real,log_N,log_P,log_A,log_Z,nu
0.950948522679547,0.67769231508935,0.9998411338779,1.00052112887418,0.934490977427181,1.00990926655572,1.01005208910985,0.950948522679547,0.990187963512757,1,1.00000181334653,0.999524684122843,3.43756462890994,3.87462169859912,0.887950211407009,0.916246907137623,0.0394419669303033,-0.000635514940341238,0.0400076116555163,0.9998411338779,-0.0876282792267984,-0.0502953466599022,-0.389061878551181,-0.0677533063782557,-0.00015887873508531,0.000520993133687963,0,1.6151627572153e-19
0.951352126824745,0.677520946172921,0.999681771498484,1.00105257063338,0.934364411195873,1.00972138154941,1.01000853672843,0.951352126824745,0.990372213857189,1,1.00000861812076,0.999050443184024,3.42230659228111,3.86475360445435,0.887222854565848,0.917278973619146,0.0386977317297823,-0.00127311643150212,0.0398351320881736,0.99952295591262,-0.0868207825933156,-0.0498710125874617,-0.389314786416639,-0.0678887547658355,-0.000477157850534086,0.00105201706935259,9.257108398583e-19,2.62086521739051e-19
0.95078911720394,0.677768069793833,0.999904299598752,1.00031546354156,0.934543201961517,1.00998380602229,1.01006949422187,0.95078911720394,0.990114885020345,1,1.00000711456805,0.999713364736722,3.44363076028684,3.8785296008891,0.888243283050227,0.915838454825862,0.0397371883888501,-0.000382819911185772,0.0400765386559149,0.999427301152919,-0.0884881517736611,-0.0504629888302751,-0.388950100274255,-0.0676974222887959,-0.000572862886894746,0.000315413793606438,1.86974104355059e-18,-4.96415303458844e-20
0.951139890455495,0.677618293692504,0.999765821996986,1.00077466346911,0.934432956402441,1.00982056243375,1.01003177373554,0.951139890455495,0.990274943098971,1,1.00000925797896,0.999300248342246,3.43031666787571,3.8699270117871,0.887612871485263,0.916734815550845,0.039090616442332,-0.000936821637272852,0.0399271580428507,0.999193257220603,-0.0877441018529437,-0.05009412754505,-0.389171111941151,-0.0678153968792203,-0.000807068310995777,0.000774363572245701,5.60375819626383e-19,1.27233491958795e-19
0.951236936451771,0.677578720080297,0.99972755348582,1.0009031041405,0.934402974738742,1.00977546082427,1.0100213571311,0.951236936451771,0.990319173728601,1,1.00001224740772,0.999186423363461,3.42665155960531,3.867554113155,0.887439359124043,0.916982742286905,0.0389119604560935,-0.00108993443438957,0.0398859052318646,0.998921030424104,-0.0877461758360142,-0.0499921011261769,-0.389229515816404,-0.0678474829380453,-0.00107955197996922,0.000902696587397175,1.37607875158991e-18,1.2981571000473e-19
0.949948789783558,0.678107276715835,1.00023502090642,0.999228376250529,0.934802024956306,1.01037325113668,1.0101578551097,0.949948789783558,0.989733248458763,1,1.00001319484639,1.00070789078221,3.47593032417862,3.89936875776663,0.889714900365842,0.913700066389122,0.0412792726533109,0.000939973246132831,0.0404264433570456,0.999155797833262,-0.0910974730197937,-0.0513471997733094,-0.388449747061986,-0.0674205094577353,-0.000844558770738791,-0.000771921604504959,1.60423521667614e-18,-3.8640536090794e-19
0.949414384987439,0.678305997762199,1.00044451527082,0.99854633000228,0.934962026003193,1.01061960544765,1.01021249223828,0.949414384987439,0.989491985537804,1,1.00002422109174,1.0013436984567,3.49677090914129,3.91279527436997,0.890619194766855,0.912347118448118,0.0422544539515001,0.00177766642510223,0.040642788249436,0.999599938036231,-0.0921348816627872,-0.0519099167138391,-0.3881567396193,-0.0672493645810921,-0.000400142099659208,-0.00145472760087282,-1.3706791248159e-18,-4.1656893109544e-19
0.949460555266236,0.678301039261412,1.00042681519625,0.998608656268684,0.934951565804495,1.01059892841254,1.01020826655329,0.949460555266236,0.989512230722902,1,1.00003141521808,1.00128980284677,3.49496644444713,3.91161812133625,0.890553003302849,0.91246186579679,0.0421726140686119,0.00170689691801991,0.0406260563590365,1.0000265825657,-0.0915823944984299,-0.0518612879583685,-0.388164049951329,-0.067260552398592,2.65822196052939e-05,-0.00139231254777725,-2.58223664268002e-18,-2.21938090736338e-19
0.950154413769256,0.678047962432199,1.00015490606988,0.999499328547333,0.934745207716768,1.01027919521144,1.01013731119653,0.950154413769256,0.989825391558726,1,1.00002533448431,1.00046594497862,3.46798297471425,3.89421787431619,0.889379688536528,0.914218648547451,0.0409068942544502,0.000619576322743767,0.0403450932325786,1.00018149275215,-0.0895040373426094,-0.0511307658008636,-0.388537221451548,-0.0674812911301369,0.000181476293073467,-0.000500796829791221,-2.47152295307998e-18,1.34870065323268e-19
0.950329980582757,0.677972375195867,1.00008567574938,0.999724098482199,0.934689826808386,1.01019763054493,1.01011872454977,0.950329980582757,0.989905311328765,1,1.00001954895496,1.00025740196813,3.46121418450345,3.88985938875565,0.889068718170129,0.91466594133359,0.0405839421371879,0.000342688329089723,0.0402714920919698,1.00026718404679,-0.0889292231521244,-0.050946006054426,-0.388648705361202,-0.0675405398613551,0.000267148366601178,-0.000275939585614146,-8.89371159237289e-19,1.23668297357748e-19
0.94966127834283,0.678222900809539,1.00034803536662,0.998862744692782,0.934890498966164,1.01050625965534,1.01018767067872,0.94966127834283,0.989602974222496,1,1.00002346622821,1.00105032012819,3.48711664861921,3.90656823618459,0.890211125528952,0.912970340233612,0.0418058097649533,0.00139189946559133,0.0405445045752646,1.00061531236457,-0.0904367566859827,-0.0516499042084,-0.388279252483809,-0.0673258696550818,0.000615123225885772,-0.0011379024726876,-4.90099548146617e-19,-2.0072771908222e-19
