C,W_real,Pi,A,N,R,realinterest,Y,Q,Z,S,Pi_star,x_aux_1,x_aux_2,MC,M_real,i_ann,pi_ann,r_real_ann,P,log_m_nominal,log_y,log_W_real,log_N,log_P,log_A,log_Z,nu
0.950960393680262,0.677682042745528,0.999836155599894,1.00053781168252,0.934485821008137,1.00990329703007,1.01005058112697,0.950960393680262,0.990193814316515,1,1.00000190943908,0.999509819319029,3.43711571978106,3.87434416477136,0.887920562063228,0.916278759194101,0.0394183274597681,-0.000655430640397602,0.0400016409050768,0.999836155599894,-0.0875985097917345,-0.0502828785008037,-0.389076968907752,-0.0677588180813896,-0.0001638576600994,0.0005376671395461,0,2.45268367307335e-19
0.952298495177276,0.677063274109439,0.99930523240038,1.00232047173643,0.934052449263054,1.00927636194116,1.00990241699316,0.952298495177276,0.990808901299475,1,1.00003688155791,0.997940815791254,3.38710100957648,3.84200275825426,0.885421017690078,0.919718901569252,0.0369343960181566,-0.00278005544122832,0.0394148447040857,0.999141502986057,-0.0845464069115537,-0.0488768669815344,-0.389990141542206,-0.0682226549121344,-0.000858871682906663,0.00231778537023274,2.32253494740072e-19,1.84920852355768e-18
0.95040690033631,0.67795549414246,1.00005589853411,0.999827169158579,0.934670036810507,1.01016273422789,1.01011119605392,0.95040690033631,0.989939508547473,1,1.0000279102502,1.00016785873748,3.45826243580204,3.88793473186808,0.888948406928806,0.914859112528109,0.040445762139836,0.000223587738964467,0.0402416792603964,0.999197352965885,-0.0897881636833131,-0.0508650642787541,-0.388673641043647,-0.0675617153529785,-0.000802968587763599,-0.000172845363300443,1.00088893929405e-18,3.75238573467647e-18
0.951081932298994,0.677657786936926,0.999789021255552,1.00070686178121,0.934455248211049,1.00984801551999,1.0100385686594,0.951081932298994,0.99024801942438,1,1.00002406372098,0.999369318997677,3.43252167541006,3.87134116788112,0.887726567086411,0.91658500555007,0.0391993648014065,-0.000844003418223268,0.0399540692102445,0.998986543006899,-0.088114456819177,-0.0501550854840499,-0.389112752010674,-0.0677915333053249,-0.00101397000980154,0.000706612121364683,-2.92049595130882e-20,1.8460614934663e-18
0.951271129824187,0.677569628102929,0.999714003221116,1.00095517195484,0.934393766532203,1.00975946281123,1.01001781991187,0.951271129824187,0.990334860550216,1,1.00002387562853,0.999146181591042,3.42537438515578,3.86673053568429,0.887376263403415,0.91707048342511,0.0388485938202156,-0.00114415072054395,0.039871898859146,0.998700836088238,-0.0878709934357986,-0.0499561855394696,-0.389242818466493,-0.0678573265854046,-0.00130000822077582,0.000954715998836043,3.49638208413838e-19,2.11784840204016e-18
0.95019764357693,0.678027554418995,1.00013790750464,0.99955165627102,0.934731066225271,1.01025918700448,1.01013269521391,0.95019764357693,0.989844996899639,1,1.00001932565574,1.00041470645101,3.46631014603738,3.89313846353945,0.889304441016772,0.914328512531375,0.0408276712593651,0.000551591432781469,0.040326813605551,0.998838563140531,-0.0907274472501003,-0.0510852571211468,-0.388567383145026,-0.0674964252047758,-0.00116210996700188,-0.000448444096005203,4.71197150846712e-19,1.91889544150073e-18
0.949897537128018,0.678142616157614,1.00025583803518,0.999163158535527,0.934821839727297,1.01039798343189,1.01016379893669,0.949897537128018,0.989709024966243,1,1.00001926221405,1.00077085986359,3.4779187068721,3.90062118688503,0.889822916756284,0.913566460279809,0.0413771789601679,0.00102322093451521,0.0404499777073684,0.999094103695703,-0.09130542748833,-0.0514011302247424,-0.38839774228579,-0.0673993224122095,-0.000906306093629367,-0.000837191833832432,-1.15890346147004e-19,-1.74264463872843e-19
0.950227876002428,0.678010458128133,1.0001258470985,0.999589236280487,0.934720405406163,1.01024493095788,1.01012933672968,0.950227876002428,0.989858964938629,1,1.00001562853833,1.00037836287327,3.46514237546254,3.89239230744021,0.889246861483116,0.91440624884551,0.0407712260265137,0.00050335617527504,0.0403135144902305,0.999219835815414,-0.0902607899288553,-0.0510534418143304,-0.388592591819143,-0.0675078300009625,-0.000780467584535806,-0.000410847988123993,-2.93261197509398e-19,-1.50038442781269e-18
0.952951933537446,0.676745630849413,0.999044913300512,1.00321378157371,0.933836725487846,1.00896850018566,1.00982771946465,0.952951933537446,0.991111239829979,1,1.00007929720069,0.997182702710755,3.36325891903714,3.8265260852061,0.884156591397623,0.921409506922396,0.0357140448321598,-0.00382222769243205,0.0391189792462385,0.998265505693087,-0.0835875652899988,-0.0481910525999168,-0.390459142039979,-0.0684536178880125,-0.0017360254357714,0.0032086336650892,-1.24158041380422e-19,9.48048725306435e-20
0.954697143931409,0.675823930843069,0.998345371856894,1.00567322088844,0.933240961588483,1.00813937522678,1.00961933642905,0.954697143931409,0.99192650861931,1,1.00026737787936,0.995184243128319,3.3016035779911,3.78631653473583,0.880608279283201,0.925965154304922,0.0324253697583563,-0.00662432149625463,0.0382935070864862,0.996613833558775,-0.0803151112495338,-0.0463621213360561,-0.391820667487699,-0.0690917092303285,-0.00339207891622686,0.00565719266982478,1.4112426256979e-18,6.40863487370576e-18
0.953280599490619,0.676826859368129,0.998921658870753,1.00374858222613,0.933794759062957,1.00882525264351,1.00979943944269,0.95328059949062,0.991251998166776,1,1.00028529021064,0.996826890766027,3.35152909459037,3.81858383860787,0.883735845114063,0.922221289634895,0.0351460544223373,-0.00431579252301781,0.039006960629287,0.995539223368833,-0.0854423428544212,-0.0478463389278047,-0.390339104017959,-0.0684985530180308,-0.00447084763356352,0.00374152841358121,2.46271931013043e-18,1.15186782957741e-17
